# RA    Dec   // pmRA   pmDec
103.208 -19.380 5.223 -2.567
104.773 -18.696 5.835 -2.615
101.815 -19.022 4.868 -2.812
100.352 -16.105 4.516 -2.334
103.580 -18.836 5.030 -3.059
100.683 -11.554 11.904 -0.515
101.571 -19.383 5.757 -3.172
104.731 -15.514 5.168 -2.573
102.542 -15.253 4.849 -3.147
102.525 -19.452 5.305 -2.607
102.188 -15.963 5.862 -2.489
100.640 -15.214 4.581 -3.123
101.286 -17.523 4.741 -3.154
103.416 -19.998 5.127 -2.988
103.394 -17.416 3.758 -2.704
100.610 -15.731 6.734 -1.339
99.748 -18.445 6.347 -0.929
103.716 -17.285 6.206 -0.676
103.053 -18.521 6.412 -0.284
101.783 -18.452 4.674 -3.800
101.814 -16.433 4.112 -3.014
104.379 -18.803 5.117 -3.197
104.915 -15.426 5.620 -3.261
104.833 -18.686 6.489 -0.867
104.561 -15.979 4.675 -2.549
103.604 -15.064 4.867 -2.900
100.940 -18.479 4.731 -2.237
100.507 -17.368 5.210 -3.007
105.724 -10.316 9.517 -0.130
105.131 -17.397 6.703 -0.314
105.980 -19.168 6.467 -1.371
100.968 -19.726 4.952 -2.856
103.653 -16.869 4.615 -3.480
104.250 -19.825 4.908 -2.991
100.314 -15.447 5.088 -2.557
97.432 -16.308 8.070 -1.252
105.400 -14.142 5.920 -2.522
102.268 -17.406 5.369 -2.117
100.364 -19.268 5.347 -3.156
101.251 -18.581 4.592 -3.041
104.686 -16.407 5.194 -3.927
102.298 -17.348 5.053 -3.107
103.596 -18.987 4.843 -2.871
104.571 -19.432 4.650 -3.135
100.532 -18.463 5.026 -1.901
96.699 -13.898 9.618 -0.496
100.989 -15.028 5.467 -2.849
100.054 -16.050 5.730 -2.285
102.686 -17.016 4.211 -3.430
104.077 -18.990 5.476 -3.290
104.248 -17.551 4.699 -1.911
104.429 -16.242 5.231 -2.939
100.927 -15.038 6.340 -0.529
104.198 -16.637 6.232 -0.725
100.993 -18.869 6.296 -1.020
104.084 -15.572 6.451 -1.290
102.437 -14.731 5.903 -0.763
100.976 -17.520 6.396 -2.388
104.685 -14.553 5.954 -2.698
105.233 -17.378 5.952 -1.954
105.314 -18.718 5.335 -2.960
104.029 -19.332 5.926 -2.201
102.928 -18.201 4.998 -3.413
101.429 -16.824 5.389 -2.250
104.716 -16.829 4.753 -3.465
102.649 -17.166 5.304 -3.479
100.869 -15.587 5.157 -2.933
100.075 -15.368 4.644 -3.310
102.532 -18.986 5.503 -3.659
101.259 -17.815 5.106 -2.961
103.439 -18.417 4.563 -3.680
104.850 -17.775 5.492 -3.079
103.472 -15.164 4.965 -3.474
100.308 -16.355 5.889 -2.748
103.732 -19.194 4.979 -1.002
101.672 -17.838 5.023 -3.257
100.820 -19.970 5.500 -3.283
100.783 -17.248 5.661 -4.404
104.206 -16.858 5.586 -3.110
99.725 -17.284 10.309 -0.895
99.227 -15.778 5.842 -2.261
99.724 -18.590 5.825 -2.312
105.076 -15.838 6.270 -0.146
100.136 -15.011 6.045 0.222
105.799 -15.259 6.447 -1.905
103.095 -22.940 10.580 0.663
104.872 -16.719 4.607 -3.762
100.846 -19.345 5.252 -2.548
100.691 -15.157 3.895 -2.750
104.902 -15.556 5.111 -3.605
103.871 -19.936 3.898 -2.611
104.299 -17.890 5.334 -3.219
100.992 -19.215 4.774 -2.033
104.332 -17.499 4.257 -3.166
104.387 -18.815 5.468 -2.279
102.607 -19.645 5.157 -4.118
109.112 -18.343 8.557 -0.204
100.520 -19.807 5.946 -2.526
107.700 -10.815 8.828 0.023
102.319 -16.107 8.775 0.726
103.858 -17.478 5.109 -3.864
102.411 -18.971 5.329 -3.683
104.591 -18.630 5.220 -3.028
100.841 -16.718 5.128 -1.760
100.141 -17.625 5.112 -2.016
101.310 -19.013 5.729 -3.530
104.210 -15.795 4.229 -3.510
100.107 -15.832 4.257 -3.236
100.734 -19.414 4.757 -3.467
103.920 -15.482 5.117 -2.839
100.174 -16.548 4.972 -3.320
101.938 -15.251 5.712 -2.243
